side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,searchbot,per_power,AUSTRIA,10,0.005634,0.000000,0.000000,0.100000,0.900000,0,0,1,9,1,10,2,0,0.100000,1.000000,0.200000,0.000000,136,228,0.596491
self,searchbot,per_power,ENGLAND,10,0.015016,0.000000,0.000000,0.300000,0.700000,0,0,3,7,5,21,0,0,0.500000,2.100000,0.000000,0.000000,218,315,0.692063
self,searchbot,per_power,FRANCE,10,0.036920,0.000000,0.100000,0.300000,0.600000,0,1,3,6,7,18,16,2,0.700000,1.800000,1.600000,0.200000,224,433,0.517321
self,searchbot,per_power,GERMANY,10,0.016266,0.000000,0.000000,0.200000,0.800000,0,0,2,8,16,27,5,2,1.600000,2.700000,0.500000,0.200000,175,467,0.374732
self,searchbot,per_power,ITALY,10,0.019608,0.000000,0.000000,0.200000,0.800000,0,0,2,8,13,12,6,2,1.300000,1.200000,0.600000,0.200000,238,431,0.552204
self,searchbot,per_power,RUSSIA,10,0.000376,0.000000,0.000000,0.100000,0.900000,0,0,1,9,5,10,0,2,0.500000,1.000000,0.000000,0.200000,137,304,0.450658
self,searchbot,per_power,TURKEY,10,0.112403,0.000000,0.200000,0.600000,0.200000,0,2,6,2,3,18,3,1,0.300000,1.800000,0.300000,0.100000,340,579,0.587219
opponent,consistent,per_power,AUSTRIA,60,0.083063,0.000000,0.050000,0.333333,0.616667,0,3,20,37,1,12,0,0,0.016667,0.200000,0.000000,0.000000,1365,2449,0.557370
opponent,consistent,per_power,ENGLAND,60,0.128165,0.016667,0.100000,0.416667,0.466667,1,6,25,28,4,12,0,0,0.066667,0.200000,0.000000,0.000000,1632,2568,0.635514
opponent,consistent,per_power,FRANCE,60,0.299710,0.050000,0.300000,0.516667,0.133333,3,18,31,8,1,15,1,0,0.016667,0.250000,0.016667,0.000000,2568,4091,0.627719
opponent,consistent,per_power,GERMANY,60,0.141933,0.016667,0.066667,0.583333,0.333333,1,4,35,20,0,18,0,0,0.000000,0.300000,0.000000,0.000000,2191,3573,0.613210
opponent,consistent,per_power,ITALY,60,0.120736,0.000000,0.150000,0.583333,0.266667,0,9,35,16,0,11,0,0,0.000000,0.183333,0.000000,0.000000,1815,2633,0.689328
opponent,consistent,per_power,RUSSIA,60,0.163829,0.000000,0.200000,0.483333,0.316667,0,12,29,19,0,6,0,0,0.000000,0.100000,0.000000,0.000000,1946,3694,0.526800
opponent,consistent,per_power,TURKEY,60,0.194859,0.033333,0.216667,0.433333,0.316667,2,13,26,19,1,8,0,0,0.016667,0.133333,0.000000,0.000000,2202,3395,0.648601
self,searchbot,overall,OVERALL,70,0.029460,0.000000,0.042857,0.257143,0.700000,0,3,18,49,50,116,32,9,0.714286,1.657143,0.457143,0.128571,1468,2757,0.532463
opponent,consistent,overall,OVERALL,420,0.161757,0.016667,0.154762,0.478571,0.350000,7,65,201,147,7,82,1,0,0.016667,0.195238,0.002381,0.000000,13719,22403,0.612373
