game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_mysearchbot_oppdipnet_seed2_v1,2,1v6,AUSTRIA,searchbot,dipnet,solo_18sc_ITALY,F1910R,45,0,1,0,13,18,2,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,25,43,37,56,56,93,32,44,8,20
run_1v6_myAUSTRIA_mysearchbot_oppdipnet_seed4_v1,4,1v6,AUSTRIA,searchbot,dipnet,stop_after_W1913A,W1913A,59,0,0,14,1,10,8,1,0.000000,0.000000,0.541436,0.002762,0.276243,0.176796,0.002762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,9,13,48,79,30,85,55,86,35,79,17,28
run_1v6_myAUSTRIA_mysearchbot_oppdipnet_seed3_v1,3,1v6,AUSTRIA,searchbot,dipnet,stop_after_W1913A,W1913A,58,0,0,13,2,14,5,0,0.000000,0.000000,0.428934,0.010152,0.497462,0.063452,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,12,19,49,99,48,92,51,82,17,62,15,53
run_1v6_myAUSTRIA_mysearchbot_oppdipnet_seed1_v1,1,1v6,AUSTRIA,searchbot,dipnet,solo_18sc_AUSTRIA,F1912R,54,21,0,10,2,1,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,55,7,9,38,79,41,88,19,26,38,56,2,30
run_1v6_myAUSTRIA_mysearchbot_oppdipnet_seed0_v1,0,1v6,AUSTRIA,searchbot,dipnet,solo_18sc_AUSTRIA,F1911R,46,18,8,6,2,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,53,30,65,29,71,18,26,25,48,15,26,5,9
run_1v6_myAUSTRIA_mysearchbot_oppdipnet_seed6_v1,6,1v6,AUSTRIA,searchbot,dipnet,solo_18sc_FRANCE,F1911R,48,0,0,18,0,8,3,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,9,11,46,83,21,26,37,51,27,80,32,41
run_1v6_myAUSTRIA_mysearchbot_oppdipnet_seed5_v1,5,1v6,AUSTRIA,searchbot,dipnet,stop_after_W1913A,W1913A,60,8,0,17,0,6,3,0,0.160804,0.000000,0.726131,0.000000,0.090452,0.022613,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,10,13,61,107,33,65,10,29,26,67,8,45
run_1v6_myAUSTRIA_mysearchbot_oppdipnet_seed8_v1,8,1v6,AUSTRIA,searchbot,dipnet,solo_18sc_FRANCE,F1909R,39,0,0,19,0,3,6,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,12,14,34,64,16,30,26,42,16,48,14,36
run_1v6_myAUSTRIA_mysearchbot_oppdipnet_seed7_v1,7,1v6,AUSTRIA,searchbot,dipnet,stop_after_W1913A,W1913A,44,0,5,6,5,4,7,7,0.000000,0.125000,0.180000,0.125000,0.080000,0.245000,0.245000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,36,31,49,4,135,48,53,31,70,15,68,19,37
run_1v6_myAUSTRIA_mysearchbot_oppdipnet_seed9_v1,9,1v6,AUSTRIA,searchbot,dipnet,solo_18sc_FRANCE,F1911R,50,10,0,18,0,3,2,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,53,7,7,43,79,16,18,21,31,34,63,9,28
