game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_mysearchbot_oppdipnet_seed0_v1,0,1v6,FRANCE,searchbot,dipnet,solo_18sc_FRANCE,F1912R,56,1,0,19,0,3,4,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,6,8,60,65,13,20,31,57,34,105,40,73
run_1v6_myFRANCE_mysearchbot_oppdipnet_seed1_v1,1,1v6,FRANCE,searchbot,dipnet,solo_18sc_FRANCE,F1909R,39,1,0,18,0,11,4,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25,14,21,44,58,14,17,37,45,24,39,0,19
run_1v6_myFRANCE_mysearchbot_oppdipnet_seed2_v1,2,1v6,FRANCE,searchbot,dipnet,solo_18sc_FRANCE,F1910R,42,1,0,19,0,5,4,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,6,6,43,57,22,51,34,48,11,63,32,39
run_1v6_myFRANCE_mysearchbot_oppdipnet_seed3_v1,3,1v6,FRANCE,searchbot,dipnet,stop_after_W1913A,W1913A,59,10,0,3,10,11,0,0,0.303030,0.000000,0.027273,0.303030,0.366667,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,103,4,5,40,63,31,45,39,85,27,39,0,17
run_1v6_myFRANCE_mysearchbot_oppdipnet_seed4_v1,4,1v6,FRANCE,searchbot,dipnet,stop_after_W1913A,W1913A,59,0,0,0,15,0,5,14,0.000000,0.000000,0.000000,0.504484,0.000000,0.056054,0.439462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,9,24,17,63,46,98,20,78,23,75,37,71
run_1v6_myFRANCE_mysearchbot_oppdipnet_seed6_v1,6,1v6,FRANCE,searchbot,dipnet,solo_18sc_FRANCE,F1909R,41,0,0,19,1,14,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,37,6,12,44,48,20,25,34,56,4,11,5,14
run_1v6_myFRANCE_mysearchbot_oppdipnet_seed5_v1,5,1v6,FRANCE,searchbot,dipnet,solo_18sc_FRANCE,F1913R,55,7,0,19,1,7,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,52,12,12,63,87,31,59,35,40,24,36,0,18
run_1v6_myFRANCE_mysearchbot_oppdipnet_seed8_v1,8,1v6,FRANCE,searchbot,dipnet,solo_18sc_FRANCE,F1908R,36,5,0,18,0,9,2,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,42,13,19,25,32,9,15,23,33,18,29,0,20
run_1v6_myFRANCE_mysearchbot_oppdipnet_seed7_v1,7,1v6,FRANCE,searchbot,dipnet,solo_18sc_FRANCE,F1911M,45,11,0,18,1,3,1,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,92,7,16,47,96,21,54,18,27,26,36,0,19
run_1v6_myFRANCE_mysearchbot_oppdipnet_seed9_v1,9,1v6,FRANCE,searchbot,dipnet,solo_18sc_FRANCE,F1909R,40,1,2,19,0,9,3,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,46,7,8,35,49,23,39,31,40,16,39,2,15
