side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,searchbot,per_power,AUSTRIA,10,0.216080,0.200000,0.000000,0.100000,0.700000,2,0,1,7,0,0,0,0,0.000000,0.000000,0.000000,0.000000,216,370,0.583784
self,searchbot,per_power,ENGLAND,10,0.416966,0.300000,0.100000,0.500000,0.100000,3,1,5,1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,409,682,0.599707
self,searchbot,per_power,FRANCE,10,0.802727,0.800000,0.000000,0.100000,0.100000,8,0,1,1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,418,618,0.676375
self,searchbot,per_power,GERMANY,10,0.527609,0.300000,0.200000,0.500000,0.000000,3,2,5,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,509,1057,0.481552
self,searchbot,per_power,ITALY,10,0.624500,0.600000,0.100000,0.000000,0.300000,6,1,0,3,0,0,0,0,0.000000,0.000000,0.000000,0.000000,478,786,0.608142
self,searchbot,per_power,RUSSIA,10,0.245115,0.200000,0.000000,0.400000,0.400000,2,0,4,4,0,0,0,0,0.000000,0.000000,0.000000,0.000000,280,517,0.541586
self,searchbot,per_power,TURKEY,10,0.324243,0.300000,0.000000,0.300000,0.400000,3,0,3,4,0,0,0,0,0.000000,0.000000,0.000000,0.000000,214,380,0.563158
opponent,dipnet,per_power,AUSTRIA,60,0.039136,0.000000,0.016667,0.200000,0.783333,0,1,12,47,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1356,3024,0.448413
opponent,dipnet,per_power,ENGLAND,60,0.032074,0.000000,0.033333,0.166667,0.800000,0,2,10,48,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1032,1868,0.552463
opponent,dipnet,per_power,FRANCE,60,0.242348,0.133333,0.183333,0.233333,0.450000,8,11,14,27,0,0,0,0,0.000000,0.000000,0.000000,0.000000,2085,4760,0.438025
opponent,dipnet,per_power,GERMANY,60,0.045147,0.000000,0.033333,0.233333,0.733333,0,2,14,44,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1541,3270,0.471254
opponent,dipnet,per_power,ITALY,60,0.179450,0.050000,0.200000,0.250000,0.500000,3,12,15,30,0,0,0,0,0.000000,0.000000,0.000000,0.000000,2102,3976,0.528672
opponent,dipnet,per_power,RUSSIA,60,0.061388,0.000000,0.100000,0.233333,0.666667,0,6,14,40,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1237,3761,0.328902
opponent,dipnet,per_power,TURKEY,60,0.040917,0.000000,0.016667,0.250000,0.733333,0,1,15,44,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1232,2440,0.504918
self,searchbot,overall,OVERALL,70,0.451034,0.385714,0.057143,0.271429,0.285714,27,4,19,20,0,0,0,0,0.000000,0.000000,0.000000,0.000000,2524,4410,0.572336
opponent,dipnet,overall,OVERALL,420,0.091494,0.026190,0.083333,0.223810,0.666667,11,35,94,280,0,0,0,0,0.000000,0.000000,0.000000,0.000000,10585,23099,0.458245
